N,P,K,temperature,humidity,ph,rainfall,label
18.34,76.02,21.51,22.19,68.79,7.23,41.73,lentil
9.28,64.92,26.15,18.35,74.28,7.33,57.1,lentil
10.86,62.59,20.76,15.99,69.34,7.12,62.23,lentil
4.41,63.29,21.06,24.27,70.66,7.05,53.1,lentil
1.68,79.69,23.66,17.85,68.79,6.27,68.8,lentil
3.5,72.96,19.45,22.18,71.65,7.68,56.51,lentil
17.85,61.57,20.31,17.48,74.82,6.97,60.64,lentil
13.69,64.24,19.39,17.81,66.17,6.59,35.69,lentil
17.59,79.31,20.42,18.39,60.11,7.7,63.89,lentil
2.93,63.19,24.9,21.16,60.67,7.56,45.81,lentil
7.37,75.39,25.11,19.0,74.21,7.02,62.01,lentil
9.68,77.95,26.08,15.87,74.05,8.06,62.7,lentil
4.02,76.1,25.5,17.89,74.28,6.12,40.25,lentil
10.75,71.52,23.45,15.17,74.41,6.11,40.01,lentil
0.28,71.34,26.32,21.66,72.34,6.03,53.97,lentil
9.19,69.98,17.72,21.84,67.55,7.91,51.99,lentil
2.99,72.97,18.72,23.72,69.2,6.39,68.68,lentil
10.37,61.46,23.27,17.53,72.06,8.04,69.26,lentil
10.04,69.1,24.53,16.32,68.2,7.37,38.13,lentil
8.36,77.07,25.56,15.99,61.36,6.66,65.62,lentil
2.58,74.4,18.01,21.23,65.34,7.97,43.18,lentil
12.78,64.71,24.14,23.74,61.9,8.17,55.78,lentil
2.54,68.55,18.61,22.0,71.38,6.26,52.71,lentil
16.29,78.72,22.14,24.5,68.04,6.99,64.69,lentil
9.86,69.44,21.9,23.47,72.48,7.01,46.67,lentil
9.84,71.46,19.38,22.94,67.3,6.84,38.74,lentil
4.78,78.99,20.05,16.69,66.91,6.77,36.23,lentil
6.46,70.88,22.52,18.57,66.71,8.41,48.21,lentil
5.16,64.87,21.58,22.6,63.09,7.77,35.74,lentil
8.38,75.52,20.39,20.64,63.07,7.85,36.83,lentil
17.05,63.96,25.74,18.53,70.84,6.8,66.71,lentil
2.53,63.57,21.93,15.82,62.94,8.36,69.18,lentil
7.53,78.47,22.45,17.7,70.54,7.65,69.62,lentil
5.3,73.44,17.52,16.14,60.06,8.5,63.08,lentil
15.73,70.19,20.0,16.51,64.27,6.94,61.47,lentil
10.79,61.55,17.18,16.02,66.16,8.33,57.31,lentil
16.04,69.33,20.62,16.08,73.14,7.96,40.88,lentil
10.25,69.75,23.25,24.46,68.7,7.35,36.76,lentil
1.26,63.75,17.32,22.43,70.85,6.34,64.26,lentil
3.1,66.02,19.49,18.72,63.82,7.22,49.26,lentil
19.73,61.12,18.42,15.53,69.39,6.14,64.28,lentil
10.24,70.54,22.62,16.71,62.97,6.8,55.77,lentil
4.2,62.33,26.7,15.22,72.04,7.97,45.4,lentil
2.71,62.91,23.97,21.43,71.74,8.34,59.22,lentil
3.12,64.87,25.42,17.09,61.09,7.76,49.09,lentil
18.4,73.01,17.9,24.48,63.88,6.84,49.08,lentil
1.02,69.93,18.23,19.01,65.26,7.93,63.11,lentil
3.07,67.33,20.73,16.51,71.98,7.77,41.66,lentil
7.33,62.12,23.28,16.21,74.79,7.95,48.66,lentil
11.57,78.23,22.54,16.74,65.68,8.11,57.55,lentil
13.01,77.34,25.94,24.2,61.42,7.36,60.92,lentil
15.14,72.13,18.67,22.97,70.8,6.22,51.23,lentil
3.48,66.75,17.18,19.0,68.25,7.55,58.22,lentil
16.73,64.31,18.2,23.52,62.35,8.44,64.49,lentil
10.02,79.63,17.97,18.03,69.57,6.88,67.49,lentil
1.31,70.99,22.91,21.53,63.83,6.91,64.53,lentil
3.9,76.54,22.63,22.62,70.7,6.52,54.91,lentil
17.35,68.64,26.67,19.52,62.14,6.97,68.31,lentil
6.39,77.36,25.81,18.5,61.25,7.81,45.9,lentil
7.83,18.85,44.71,28.22,88.82,6.16,115.05,pomegranate
3.67,20.52,51.18,24.89,90.24,6.51,110.78,pomegranate
2.78,28.67,49.47,26.62,91.48,5.54,124.72,pomegranate
5.1,20.91,42.19,22.65,86.93,6.93,116.35,pomegranate
4.67,11.05,35.75,27.74,90.38,6.26,109.72,pomegranate
7.45,13.36,38.8,25.69,87.86,5.87,125.81,pomegranate
6.51,26.49,43.35,22.58,87.74,6.97,123.85,pomegranate
7.1,10.15,45.36,22.3,90.69,6.88,138.74,pomegranate
5.41,19.16,53.9,27.39,85.65,6.2,109.61,pomegranate
4.7,19.11,46.64,24.85,86.64,6.26,133.21,pomegranate
6.64,16.77,53.71,29.3,87.09,5.56,129.65,pomegranate
8.28,29.36,52.8,26.8,90.3,5.54,109.87,pomegranate
4.6,22.57,46.15,27.94,87.8,6.35,103.53,pomegranate
4.14,25.0,48.87,29.93,87.78,6.25,113.18,pomegranate
4.41,27.14,48.68,29.06,87.04,6.81,102.39,pomegranate
8.89,16.58,41.29,26.1,94.41,5.57,114.09,pomegranate
8.57,17.92,38.98,25.4,88.86,6.87,130.48,pomegranate
5.05,29.77,44.31,22.47,87.62,6.15,106.28,pomegranate
9.48,25.34,40.37,26.73,92.21,6.91,135.27,pomegranate
5.15,25.49,46.24,26.42,86.15,5.69,121.18,pomegranate
2.69,10.42,49.46,22.26,90.95,6.31,138.75,pomegranate
4.84,11.27,46.03,28.73,94.97,6.15,112.81,pomegranate
9.07,13.82,47.31,25.25,85.41,6.02,110.61,pomegranate
6.86,28.98,40.36,28.49,85.55,6.31,102.82,pomegranate
9.34,25.33,48.16,28.59,91.48,6.95,128.56,pomegranate
9.25,20.34,37.34,26.23,86.27,6.39,119.3,pomegranate
6.23,10.2,38.9,25.93,94.51,6.08,116.97,pomegranate
7.15,22.08,40.98,25.29,87.18,6.95,105.23,pomegranate
3.72,10.52,39.44,28.24,87.01,5.62,118.98,pomegranate
0.1,11.7,51.15,28.17,94.15,6.78,127.33,pomegranate
0.52,25.66,51.91,28.39,90.08,5.85,133.81,pomegranate
7.27,29.62,38.11,23.81,87.12,6.69,107.48,pomegranate
0.67,29.97,35.5,28.68,88.65,6.76,122.18,pomegranate
9.02,28.52,35.18,22.6,87.5,6.5,135.53,pomegranate
4.6,22.14,38.77,28.44,94.67,5.9,119.79,pomegranate
0.86,21.18,45.06,23.16,89.42,6.0,120.87,pomegranate
5.86,10.17,50.22,27.7,88.66,5.58,130.2,pomegranate
9.55,14.8,41.47,23.47,90.77,5.73,114.25,pomegranate
6.97,21.2,42.73,25.36,90.62,5.51,103.14,pomegranate
8.81,11.56,49.14,29.36,87.71,6.06,122.76,pomegranate
8.82,28.84,49.79,22.69,91.69,6.12,118.83,pomegranate
0.49,13.82,50.81,25.63,88.02,6.08,134.18,pomegranate
7.49,15.45,37.35,24.02,94.21,6.37,121.34,pomegranate
5.96,17.32,51.14,26.19,86.17,5.69,121.47,pomegranate
9.37,16.17,52.39,28.11,87.48,5.55,104.07,pomegranate
7.28,13.99,42.43,26.01,92.25,5.67,116.25,pomegranate
4.85,20.82,51.37,23.37,93.08,6.54,122.23,pomegranate
7.0,18.24,37.77,27.33,90.25,6.46,113.52,pomegranate
9.07,21.75,36.71,25.6,92.56,6.69,119.78,pomegranate
8.95,15.35,43.21,29.19,93.96,6.53,134.36,pomegranate
0.89,27.3,41.41,23.43,87.39,6.13,110.05,pomegranate
3.21,12.7,40.92,26.58,89.42,6.02,129.86,pomegranate
8.94,25.14,41.64,27.96,86.52,5.7,113.83,pomegranate
8.08,14.93,36.27,23.05,93.59,6.45,110.13,pomegranate
5.55,20.55,48.11,23.87,93.64,5.96,127.77,pomegranate
0.16,17.45,42.03,26.35,85.73,6.69,108.71,pomegranate
6.77,26.06,46.24,27.93,91.62,6.03,132.35,pomegranate
2.95,21.42,49.91,25.03,88.03,6.19,132.72,pomegranate
9.3,20.9,48.23,29.23,85.99,5.85,128.36,pomegranate
8.24,27.14,43.3,22.71,89.38,5.85,111.65,pomegranate
7.72,11.51,51.55,25.42,90.96,5.63,113.49,pomegranate
0.9,29.23,51.15,25.68,87.24,6.9,113.78,pomegranate
1.61,21.26,53.88,22.03,87.38,6.91,106.84,pomegranate
1.13,21.4,52.24,25.82,94.95,6.52,102.96,pomegranate
9.93,18.16,40.75,26.46,88.04,5.63,100.06,pomegranate
4.5,26.74,46.45,29.99,87.87,5.92,106.39,pomegranate
1.64,15.7,50.86,29.25,94.75,5.85,135.25,pomegranate
3.28,12.26,52.4,27.09,86.65,6.14,111.49,pomegranate
7.37,19.07,54.79,22.44,88.55,6.22,120.13,pomegranate
3.16,24.58,52.49,29.51,93.05,6.78,122.02,pomegranate
8.26,16.07,42.97,24.54,89.67,5.93,138.46,pomegranate
3.13,11.96,45.54,22.46,86.11,5.83,118.57,pomegranate
4.33,25.99,49.79,25.41,88.34,5.97,130.96,pomegranate
0.52,10.26,50.91,25.82,86.31,5.85,137.3,pomegranate
8.6,24.2,44.64,26.16,94.75,6.95,108.61,pomegranate
8.11,13.94,39.27,27.41,89.05,6.9,103.56,pomegranate
5.12,28.37,53.08,23.25,88.67,6.43,106.38,pomegranate
9.68,28.29,38.34,22.97,85.85,6.86,107.74,pomegranate
4.16,18.98,46.98,22.57,87.27,6.9,136.34,pomegranate
7.81,10.39,41.54,27.02,87.75,6.86,125.36,pomegranate
0.72,28.18,54.16,22.62,90.32,5.96,115.71,pomegranate
1.8,21.56,54.16,26.02,85.83,6.43,113.61,pomegranate
8.56,18.69,38.86,23.53,92.69,5.9,130.69,pomegranate
2.06,16.43,44.31,29.55,94.32,5.81,114.33,pomegranate
1.49,20.2,44.21,29.21,94.3,6.08,119.67,pomegranate
8.96,26.13,35.07,24.56,89.22,5.84,107.98,pomegranate
0.38,22.87,40.25,22.42,87.31,6.7,134.06,pomegranate
4.83,18.32,54.56,23.6,87.15,5.94,106.91,pomegranate
3.79,28.22,47.31,25.3,94.34,5.57,108.41,pomegranate
5.66,22.31,35.79,25.22,91.49,6.55,125.53,pomegranate
3.21,11.87,43.54,23.03,94.48,6.21,112.69,pomegranate
7.66,19.96,41.2,28.5,93.67,6.51,101.88,pomegranate
5.66,25.27,37.73,23.83,93.82,5.53,130.11,pomegranate
4.74,18.94,35.14,28.56,88.6,6.31,127.09,pomegranate
7.03,29.12,45.63,25.2,94.54,6.46,111.93,pomegranate
1.26,26.85,42.24,27.28,89.71,5.8,124.07,pomegranate
0.61,18.27,45.93,25.49,92.49,6.74,130.85,pomegranate
0.39,13.88,45.73,29.48,93.35,6.76,112.13,pomegranate
4.29,19.41,38.15,22.25,94.47,5.86,109.6,pomegranate
0.83,28.57,46.59,27.34,94.12,6.02,124.86,pomegranate
71.16,63.74,61.62,28.13,77.01,6.25,106.01,banana
70.01,64.82,49.16,24.0,86.12,6.06,95.75,banana
85.13,77.31,49.83,22.63,77.13,7.0,106.52,banana
94.5,79.19,60.85,26.83,79.87,5.58,119.53,banana
81.5,63.04,58.33,24.27,81.72,6.67,103.37,banana
95.08,65.3,53.97,26.3,83.27,7.07,101.84,banana
89.38,63.01,63.65,25.06,84.59,5.54,96.16,banana
84.61,77.57,55.55,29.44,79.68,6.48,93.59,banana
94.08,64.94,62.99,29.29,88.87,6.54,110.31,banana
93.36,62.62,57.02,22.27,79.95,5.81,95.49,banana
80.95,68.65,57.46,22.6,80.07,5.87,107.22,banana
89.12,71.13,59.77,24.68,85.3,6.37,104.53,banana
89.44,60.37,58.08,26.95,76.2,5.67,92.73,banana
97.7,73.79,47.54,24.85,81.85,7.17,91.31,banana
77.1,77.79,45.18,23.61,89.18,6.73,97.85,banana
72.01,60.56,49.89,29.05,78.32,6.94,117.55,banana
82.24,63.83,55.34,29.26,86.09,5.63,110.78,banana
87.16,78.15,47.45,26.27,87.59,6.32,104.46,banana
72.11,65.56,51.49,29.56,75.65,6.42,110.14,banana
74.87,69.73,59.77,28.93,82.53,6.84,93.79,banana
98.37,62.65,60.49,24.12,88.67,6.94,112.61,banana
76.57,68.86,57.36,28.16,72.08,7.42,116.71,banana
78.11,76.46,55.37,25.69,76.29,6.66,111.9,banana
82.33,72.58,58.99,27.69,71.04,7.22,103.75,banana
77.87,64.84,54.66,29.09,77.57,7.0,92.9,banana
84.28,79.83,60.41,23.68,80.03,5.97,102.29,banana
93.4,75.42,49.56,29.38,81.85,6.26,105.06,banana
88.15,71.2,54.73,26.04,73.53,7.13,106.25,banana
73.93,75.32,63.65,29.58,77.38,5.77,105.55,banana
73.38,78.68,48.67,24.02,78.13,6.27,113.84,banana
83.69,63.42,50.34,26.07,72.95,6.72,106.97,banana
91.44,78.75,63.25,29.57,74.89,5.76,99.07,banana
96.85,79.44,62.19,22.88,88.95,6.35,90.28,banana
83.27,60.92,55.88,24.71,79.47,6.73,116.06,banana
89.86,68.68,61.39,29.24,72.4,6.56,98.54,banana
71.41,73.37,62.26,23.3,86.25,7.21,117.43,banana
77.96,78.08,51.41,26.42,71.01,5.59,111.61,banana
83.33,65.13,48.81,27.36,70.01,7.11,92.38,banana
75.74,67.72,54.7,24.84,76.41,7.43,109.25,banana
70.7,68.6,62.5,24.41,71.89,7.02,108.18,banana
87.11,61.07,47.81,26.98,74.16,6.51,106.35,banana
78.51,78.97,61.85,27.78,71.56,5.71,104.78,banana
74.82,79.57,48.17,25.9,77.28,6.78,93.87,banana
82.91,65.49,62.76,22.32,88.27,7.17,98.93,banana
93.68,60.62,64.34,26.21,76.07,6.23,91.99,banana
99.68,60.79,58.1,25.54,88.98,5.99,105.96,banana
84.47,74.06,46.36,23.55,74.29,6.98,95.67,banana
87.2,64.3,62.23,29.54,80.37,6.2,97.02,banana
71.49,65.37,58.08,26.27,88.88,6.29,110.82,banana
84.68,70.25,50.36,25.64,79.42,6.91,118.22,banana
79.88,60.84,54.93,26.36,73.37,7.02,119.55,banana
98.37,63.94,62.51,27.64,79.08,6.58,115.49,banana
84.4,67.46,54.86,26.63,73.78,7.3,110.23,banana
89.0,61.99,57.08,22.97,71.57,6.55,102.08,banana
87.66,61.78,53.62,23.4,89.74,6.62,110.62,banana
79.76,61.89,64.52,24.29,78.48,6.8,90.74,banana
94.31,70.73,50.56,22.49,73.25,7.29,110.58,banana
77.5,61.31,58.81,26.58,78.09,6.23,96.5,banana
90.09,79.41,48.51,26.78,78.48,6.39,97.62,banana
94.75,69.71,55.87,24.44,73.64,5.67,111.42,banana
75.89,73.8,52.81,25.33,79.38,6.24,93.02,banana
79.29,73.27,58.32,24.29,79.2,5.89,96.31,banana
70.69,77.93,49.21,23.82,75.59,5.75,109.18,banana
72.25,62.68,57.9,24.72,84.16,6.61,97.68,banana
89.52,62.33,55.73,25.5,75.36,6.71,116.14,banana
99.97,72.16,53.09,23.8,75.14,6.46,101.02,banana
97.41,67.37,52.47,25.07,86.73,6.8,108.43,banana
80.02,76.36,45.77,28.97,80.25,6.3,104.92,banana
90.02,60.26,62.43,25.57,76.86,5.78,103.18,banana
84.89,68.07,58.57,25.37,89.23,6.7,114.22,banana
73.28,67.95,51.74,26.56,87.22,5.66,92.18,banana
95.51,64.26,58.38,26.34,86.66,5.75,93.89,banana
86.7,78.93,53.3,24.62,82.13,7.36,115.11,banana
99.86,60.45,47.26,26.88,86.41,6.07,97.18,banana
93.61,61.13,52.39,26.05,81.21,6.96,100.65,banana
88.38,71.71,55.95,27.12,75.19,5.67,93.58,banana
76.74,70.0,61.81,27.61,85.78,6.2,102.14,banana
81.81,63.84,46.22,26.73,89.78,5.83,91.4,banana
93.39,65.05,61.59,27.63,88.91,6.32,109.86,banana
83.95,72.61,53.99,23.51,80.16,6.56,114.32,banana
92.07,73.28,47.27,27.76,80.01,7.29,117.6,banana
71.65,76.41,45.75,24.94,80.85,5.8,112.39,banana
70.25,63.37,56.62,27.72,88.33,6.91,110.15,banana
81.83,60.03,47.4,26.28,83.5,6.33,111.92,banana
85.66,61.48,48.84,28.72,84.5,7.29,93.53,banana
99.71,64.19,45.24,29.98,75.62,6.84,95.3,banana
87.41,78.08,51.4,27.36,73.76,6.75,100.09,banana
76.34,66.26,48.58,29.22,77.94,5.99,103.45,banana
79.62,74.89,64.42,25.5,87.22,6.63,94.72,banana
90.72,70.27,58.01,29.12,78.81,7.3,112.52,banana
84.66,72.06,51.51,29.87,83.35,5.59,99.8,banana
88.7,61.13,45.48,25.6,76.65,6.38,97.88,banana
74.94,73.78,55.29,23.6,76.39,6.68,92.17,banana
74.42,61.46,61.25,28.02,85.07,6.93,110.08,banana
84.31,72.85,45.77,26.97,85.56,6.5,100.73,banana
78.32,72.86,58.86,28.97,76.85,7.04,106.84,banana
96.49,70.56,55.35,26.62,84.99,7.43,92.21,banana
71.6,78.75,55.6,26.92,79.65,5.69,113.04,banana
92.42,66.23,51.12,28.7,71.45,7.26,97.7,banana
87.79,78.72,58.56,25.32,83.79,6.19,98.32,banana
19.93,30.02,37.89,26.84,45.74,4.58,106.63,mango
15.24,25.75,41.82,24.27,50.5,5.09,103.42,mango
1.45,34.08,29.47,31.38,51.39,6.96,106.62,mango
18.62,15.11,39.96,31.22,47.1,4.74,102.74,mango
18.67,25.85,35.55,25.13,45.01,6.53,92.63,mango
12.68,33.29,29.17,29.32,46.18,6.01,94.92,mango
14.72,21.02,34.27,28.8,47.57,6.35,99.08,mango
13.25,18.17,38.76,25.03,51.38,5.12,112.45,mango
5.24,32.63,42.84,25.57,54.21,4.72,101.75,mango
14.27,28.19,37.49,26.26,50.67,4.76,111.57,mango
10.08,29.18,29.98,26.6,50.01,4.56,100.23,mango
16.07,32.95,35.36,27.64,45.46,6.7,90.39,mango
18.9,24.78,31.84,31.39,45.37,5.95,106.47,mango
4.39,23.58,38.05,29.82,45.01,6.84,94.94,mango
4.67,20.27,25.76,24.98,59.8,5.29,93.46,mango
2.14,29.39,42.09,26.06,45.31,5.06,91.7,mango
2.07,23.63,29.6,28.13,48.8,6.85,117.18,mango
11.34,22.09,32.62,27.29,55.91,5.63,115.7,mango
18.88,21.72,36.21,24.76,48.01,5.53,96.19,mango
17.53,18.17,34.11,28.85,55.38,5.46,116.07,mango
11.37,23.79,26.34,27.72,57.31,6.04,114.96,mango
9.88,17.37,25.27,26.43,55.47,6.48,98.87,mango
9.91,23.42,33.21,25.85,47.05,4.99,91.66,mango
3.96,15.18,37.55,26.53,59.6,4.98,100.37,mango
7.16,15.17,41.78,24.26,59.1,6.73,106.07,mango
10.87,28.08,32.74,29.18,45.67,4.64,103.72,mango
10.99,32.76,27.09,30.58,48.15,5.49,99.5,mango
8.0,18.01,35.07,30.41,51.62,5.73,115.46,mango
14.12,24.81,30.15,31.08,53.66,5.05,98.07,mango
16.06,15.88,44.84,25.04,56.94,5.49,104.77,mango
17.61,23.26,35.75,24.39,45.04,5.11,110.42,mango
2.43,17.28,33.22,29.18,55.68,4.95,92.39,mango
18.81,20.21,42.07,30.91,56.59,4.92,114.65,mango
15.39,26.93,31.74,26.1,46.83,5.77,107.56,mango
7.19,24.51,32.27,29.13,58.52,4.91,101.44,mango
2.82,27.5,39.58,31.46,49.18,6.88,91.9,mango
12.06,16.14,42.88,28.24,55.04,6.58,94.51,mango
0.77,32.58,31.3,25.03,52.03,6.0,90.93,mango
5.5,15.66,33.41,31.16,59.74,6.09,94.85,mango
18.12,25.32,28.07,31.37,56.36,6.33,111.28,mango
4.01,19.22,38.77,25.76,51.58,6.46,113.52,mango
9.07,30.84,41.77,29.24,48.43,5.19,99.45,mango
2.34,20.46,29.19,27.64,58.63,4.76,111.61,mango
13.75,16.92,43.45,28.55,50.46,6.39,97.72,mango
13.87,15.79,41.79,27.59,54.55,5.05,110.31,mango
15.44,24.46,37.35,27.65,58.41,5.74,115.25,mango
16.03,23.21,29.6,27.25,57.39,5.07,105.73,mango
16.12,22.07,37.84,25.97,46.64,6.49,92.97,mango
5.43,32.1,31.93,31.78,59.7,5.17,91.23,mango
14.1,24.02,27.02,29.66,45.47,6.68,94.16,mango
2.55,18.51,44.21,29.55,57.02,5.49,100.09,mango
4.69,24.61,36.04,29.05,48.86,6.87,95.09,mango
19.31,15.3,34.62,26.67,51.74,5.93,103.07,mango
8.3,29.65,38.72,30.67,48.75,6.02,107.56,mango
7.39,24.72,31.28,25.13,48.21,4.76,110.49,mango
13.21,34.01,39.59,24.42,58.26,6.66,103.3,mango
11.72,34.52,35.65,31.24,46.25,4.98,103.22,mango
11.7,31.32,44.77,27.11,45.71,6.5,108.13,mango
3.97,24.9,39.85,30.16,52.49,5.26,119.21,mango
13.27,23.16,30.61,29.85,48.63,4.93,105.9,mango
5.8,27.58,27.36,29.24,49.25,4.5,93.81,mango
18.67,32.35,29.67,30.23,54.13,6.93,101.21,mango
13.63,16.27,32.92,31.71,53.08,5.22,93.61,mango
14.07,27.9,32.48,31.61,45.33,5.26,117.63,mango
6.42,20.05,35.68,30.59,46.55,6.86,113.85,mango
3.63,29.24,32.7,27.22,56.75,6.91,93.8,mango
8.41,24.62,32.53,26.91,45.78,6.21,103.09,mango
3.9,31.32,41.05,27.89,49.48,6.1,98.64,mango
4.72,29.61,25.81,24.76,45.1,4.88,92.07,mango
19.92,20.78,27.99,25.93,59.04,5.8,100.94,mango
17.47,22.9,31.7,25.66,50.67,5.29,110.32,mango
5.79,26.54,26.32,25.53,51.11,6.84,101.32,mango
13.28,20.1,27.54,24.47,49.58,4.89,95.22,mango
15.22,15.32,36.16,27.04,52.6,5.91,99.4,mango
5.9,29.67,42.43,25.54,46.46,6.74,100.5,mango
11.03,22.19,27.52,28.71,52.88,5.01,103.56,mango
15.94,26.81,26.94,28.38,55.54,6.48,108.87,mango
3.05,29.2,38.55,24.2,51.18,5.33,110.08,mango
4.32,26.82,43.26,30.38,58.82,6.95,90.32,mango
12.45,23.26,42.2,26.01,59.72,6.03,113.81,mango
1.71,18.67,40.17,24.18,57.25,4.53,109.71,mango
7.3,27.23,38.92,26.74,46.62,4.67,107.67,mango
10.41,29.84,35.19,27.38,50.97,4.57,100.07,mango
19.52,32.47,31.59,28.7,57.71,5.6,90.54,mango
1.49,25.21,44.39,29.55,46.06,4.97,113.14,mango
16.83,27.35,37.89,24.23,57.43,6.47,97.77,mango
14.17,19.3,25.81,25.61,47.68,5.34,102.55,mango
10.17,24.54,30.41,24.23,54.08,5.49,98.96,mango
17.34,29.93,42.16,27.96,46.96,6.24,96.18,mango
8.82,16.3,41.51,25.01,58.55,6.66,103.94,mango
14.89,27.39,41.06,27.45,56.79,5.66,118.23,mango
9.73,24.25,40.7,30.57,53.32,4.95,104.03,mango
19.36,30.06,41.22,24.26,52.02,6.12,114.9,mango
0.99,32.05,35.97,25.58,49.76,5.2,105.93,mango
1.03,18.17,41.25,25.06,48.5,5.63,105.51,mango
15.27,23.95,40.8,28.95,46.7,4.89,103.11,mango
7.94,29.87,36.61,27.11,47.56,5.07,107.27,mango
8.47,25.3,28.41,29.3,57.79,5.14,104.75,mango
19.51,21.66,36.9,24.72,54.09,4.72,118.78,mango
14.31,30.76,39.08,28.72,51.75,6.65,118.71,mango
9.98,137.26,203.33,14.46,86.82,5.81,50.13,grapes
4.83,120.39,195.2,13.38,94.71,6.03,65.83,grapes
2.67,101.92,211.02,14.85,91.41,5.72,70.01,grapes
5.07,109.12,180.46,9.56,84.64,5.68,84.51,grapes
6.17,105.21,187.96,15.05,80.96,6.79,83.65,grapes
4.93,118.0,180.89,15.69,86.21,5.91,57.24,grapes
13.08,116.65,187.19,16.27,88.48,6.79,54.11,grapes
15.71,126.94,184.6,16.34,86.62,6.92,54.96,grapes
12.86,115.28,218.27,11.96,94.43,6.85,59.46,grapes
16.07,139.82,190.11,13.24,87.8,5.94,50.53,grapes
4.4,111.28,197.74,10.05,93.1,6.56,52.98,grapes
13.0,126.15,218.25,8.04,83.72,6.89,82.62,grapes
14.41,130.63,183.66,14.17,83.47,5.77,78.36,grapes
2.7,118.75,217.54,10.23,94.67,6.99,69.45,grapes
3.4,112.64,196.98,11.71,84.21,6.96,55.37,grapes
14.67,100.02,203.85,18.99,84.32,5.78,72.81,grapes
14.25,127.52,192.77,11.03,94.34,6.88,66.01,grapes
16.92,118.09,196.98,9.88,86.4,6.31,50.79,grapes
8.88,131.25,207.2,15.62,93.64,5.53,69.5,grapes
15.75,121.65,192.96,9.64,93.31,6.21,80.73,grapes
11.72,126.97,212.17,15.91,85.97,6.27,78.11,grapes
7.47,115.52,183.83,18.98,81.37,6.47,64.46,grapes
8.11,127.18,182.68,15.12,91.58,6.74,55.97,grapes
17.95,126.25,215.27,13.82,88.13,6.88,81.5,grapes
8.96,110.98,195.73,12.65,84.3,5.9,80.14,grapes
1.4,127.1,186.91,12.13,80.92,5.9,76.89,grapes
17.7,108.86,198.54,13.64,93.1,6.64,67.96,grapes
13.41,133.89,180.38,12.83,93.61,6.61,69.0,grapes
10.59,113.91,200.82,15.86,86.28,6.57,80.14,grapes
3.09,118.06,196.32,16.25,83.75,6.46,80.71,grapes
8.36,136.44,219.73,9.27,83.5,6.93,83.54,grapes
1.95,100.6,186.44,19.95,82.7,6.25,79.69,grapes
0.41,124.18,191.08,18.35,84.25,6.53,73.6,grapes
4.43,101.39,196.37,11.47,92.13,6.7,66.0,grapes
12.13,124.17,213.09,13.1,84.13,5.9,68.77,grapes
8.98,117.6,183.65,16.62,83.21,5.8,64.45,grapes
4.56,123.35,194.86,13.39,88.06,5.81,55.45,grapes
17.61,117.35,196.48,8.43,87.47,6.33,69.56,grapes
14.14,107.1,190.09,17.73,94.21,5.7,67.42,grapes
4.28,102.4,193.02,9.72,90.65,6.3,55.03,grapes
0.18,132.33,187.05,15.27,85.05,6.38,61.05,grapes
1.74,108.92,187.52,13.14,89.87,5.9,50.42,grapes
10.38,124.23,218.51,15.07,87.07,6.36,82.48,grapes
16.57,112.92,189.49,11.15,87.57,6.62,67.61,grapes
1.36,128.94,212.24,11.47,89.96,6.14,81.12,grapes
16.9,121.02,207.66,18.6,87.44,5.97,76.38,grapes
4.4,115.54,214.63,16.69,86.06,5.82,62.46,grapes
5.68,107.04,209.73,11.02,86.81,6.08,84.37,grapes
7.82,103.2,183.59,15.09,88.99,6.13,65.11,grapes
1.08,120.66,200.19,9.79,81.56,5.69,53.54,grapes
12.19,107.86,190.06,10.08,94.37,6.78,58.07,grapes
6.55,108.4,199.68,8.24,90.07,6.28,81.45,grapes
3.29,132.16,211.68,9.53,85.98,5.76,58.92,grapes
5.26,122.25,196.46,19.37,81.9,6.96,58.07,grapes
15.46,113.56,185.72,18.29,84.63,6.49,69.83,grapes
9.44,119.83,209.29,9.05,90.02,6.84,52.02,grapes
2.81,128.67,197.49,12.84,82.05,6.26,54.43,grapes
9.53,130.54,190.33,13.77,94.88,6.53,79.45,grapes
8.3,130.71,181.62,9.47,83.05,6.1,79.6,grapes
6.93,126.18,208.37,15.03,85.36,6.37,61.98,grapes
1.68,139.71,185.09,8.87,93.18,5.95,72.76,grapes
6.58,115.66,190.48,12.12,86.16,6.58,67.9,grapes
18.87,101.68,200.12,15.01,93.8,5.57,70.07,grapes
17.07,109.68,215.05,8.23,90.99,6.9,73.0,grapes
8.78,101.8,216.8,13.64,80.43,6.53,66.86,grapes
2.49,108.57,182.58,14.89,89.33,6.26,78.6,grapes
17.22,124.62,180.51,16.34,86.27,6.35,72.72,grapes
7.0,136.68,185.36,16.06,80.07,6.89,53.94,grapes
1.9,113.32,194.94,10.57,88.78,6.16,51.2,grapes
6.39,132.42,207.59,16.7,90.47,5.97,53.49,grapes
5.45,133.27,219.22,13.93,80.15,5.71,61.27,grapes
11.57,103.0,217.73,12.38,93.69,6.67,76.44,grapes
12.13,125.07,205.52,15.54,88.31,6.98,75.63,grapes
15.54,134.9,188.63,9.01,87.24,6.27,79.02,grapes
8.88,122.83,201.08,8.46,89.23,6.74,55.51,grapes
11.89,123.74,186.57,9.48,94.7,6.09,57.96,grapes
3.43,126.7,204.38,15.72,81.32,6.84,63.62,grapes
